name,brand,price
Apple ,"IPhone 8 Plus 5.5-Inch HD (3GB,64GB ROM) IOS 11, 12MP + 7MP 4G Smartphone - Silver","₦ 200,000 "
Apple ,"IPhone 8 Plus 5.5-Inch HD (3GB,256GB ROM) IOS 11, 12MP + 7MP 4G Smartphone - Space Grey","₦ 250,000 "
Apple ,IPhone X - 5.8'' - 3GB RAM + 64GB ROM - (12MP + 12MP) + 7MP Smartphone - Black,"₦ 230,000 "
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver","₦ 280,000 "
Apple ,IPhone Xs 64GB - Space Grey,"₦ 330,000 "
Apple ,"IPhone XR (3GB RAM, 64GB ROM) IOS 12 (12MP+7MP) - Black - (nano-SIM)","₦ 250,000 "
Apple ,"IPhone 11, 6.1-Inch 64GB ROM 4G LTE Dual SIM - Black","₦ 330,000 "
Apple ,Apple IPhone X - 5.8'' - 3GB RAM + 256GB ROM - (12MP + 12MP) + 7MP Smartphone - White,"₦ 230,690 "
Apple ,"IPhone XS Max (4GB RAM, 64GB ROM) IOS 12 (12MP + 12MP)+7MP 4G Smartphone - Silver","₦ 290,000 "
Apple ,IPhone 6 4.7 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) – Gold,"₦ 43,000 "
Apple ,IPhone 4s 3.5Inch 32GB - ROM+512MB RAM-8MP-White(Gift：accessories)(Refurbished）,"₦ 15,000 "
Apple ,"IPhone XS Max (4GB RAM, 512GB ROM) IOS 12 (12MP + 12MP)+7MP 4G Smartphone -  Gold","₦ 410,000 "
Apple ,"IPhone 6s Plus 2GB+64GB 5.5"" Fingerprint 12MP 4G LTE Smartphone(Refurbished)-Silver","₦ 97,200 "
Apple ,IPhone 7 Plus Mobile Phone - 128GB - 3D Touch Technology - 5.5 Inch IOS 10 - A10+M10 Quad Core - Smartphone - Red,"₦ 166,000 "
Apple ,"IPhone XS 256GB - 1 Year Warranty - Silver,FREE SCREEN GLASS","₦ 260,000 "
Apple ,IPhone 4s 3.5Inch -16GB ROM+512MB RAM-8MP-Black(Gift：accessories)(Refurbished),"₦ 12,000 "
Apple ,IPhone 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Gold,"₦ 57,800 "
Apple ,IPhone6S Plus Refurbished 5.5Inch Smartphone 64GB(Gift)-Gold,"₦ 73,055 "
Apple ,IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Silver,"₦ 47,336 "
Apple ,"Refurb IPhone 6s, 4.7 Inch, (2GB RAM +16GB ROM), With Finger Sensor - Gold","₦ 46,300 "
Apple ,IPhone 7 4.7 Inch 2GB + 32GB 12MP + 7MP Finger Sensor 4G LTE Smartphone (Free Gift) – Rose Gold,"₦ 91,390 "
Apple ,IPhone 4S 3.5 Inches 16GB GSM 8MP WIFI GPS IOS SmartPhones Free  Shipping,"₦ 15,300 "
Apple ,IPhone Xs 64GB - Gold,"₦ 330,000 "
Apple ,"IPhone XR (3GB RAM, 64GB ROM) IOS 12 (12MP+7MP) - Red - (nano-SIM)","₦ 248,000 "
Apple ,IPhone 8 Plus 256GB Smartphone - Gold,"₦ 240,000 "
Apple ,IPhone 8 64G 4.7-Inch IOS Smartphone (Refurbished) - Red,"₦ 125,120 "
Apple ,IPhone 6 4.7 Inch 1GB + 16 GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) - Silver,"₦ 43,257 "
Apple ,IPhone 4 White 16GB Smart Phone Used Cell Phones 99% Like New  3.5-inch Screen (Gift：accessories),"₦ 12,990 "
Apple ,IPhone 4s White 8gb Smart Phone- Mobile Phone 3.5-inch Screen (Gift：accessories)(Refurbished）,"₦ 12,000 "
Apple ,Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 64GB-Gold,"₦ 55,385 "
Apple ,"IPhone XR (3GB RAM, 64GB ROM) IOS 12 (12MP+7MP) - Black","₦ 250,000 "
Apple ,IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Rose Gold,"₦ 209,910 "
Apple ,IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Red,"₦ 209,900 "
Apple ,IPhone 7 4.7 Inch Refurbished Smartphone 32GB - Black,"₦ 73,779 "
Apple ,IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Gold,"₦ 46,090 "
Apple ,Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 16GB-Grey,"₦ 42,870 "
Apple ,"Apple IPhone X 3GB + 64GB 5.8"" Finger Sensor 4G Smartphone (Refurbishment)-Silver","₦ 236,520 "
Apple ,IPhone 5S 16GB+1GB- Gold- 4G - 4 Inch- 8 MP- Fingerprint Unlock(Gift：accessories)(Refurbished),"₦ 26,650 "
Apple ,IPhone 8 Plus 5.5'' 64GB+3GB 4G Smartphone (Refurbished) - Black,"₦ 189,000 "
Apple ,"Apple IPhone 8 Plus 3GB + 64GB 5.5"" Finger Sensor 4G Smartphone (Refurbishment)-Gold","₦ 181,980 "
Apple ,IPhone 7plus 128GB - Black,"₦ 140,000 "
Apple ,IPhone 7 Plus 32GB 5.5 Inch IOS Smartphone (Refurbished) - Gold,"₦ 116,990 "
Apple ,"IPhone 8 Plus 5.5-Inch HD (3GB,256GB ROM) IOS 11, 12MP + 7MP 4G Smartphone - Red","₦ 250,000 "
Apple ,IPhone 7 Plus 5.5'' Inch 128GB+3GB-12MP+7MP With Fingerprint(Refurbished)-Red,"₦ 149,999 "
Samsung ,Galaxy S9 4GB+64GB 5.8 Inch Colar Blue Used Phone 99% New Single Sim 4G Android Smartphone,"₦ 123,690 "
Apple ,IPhone 6S Plus - Mobile Phone - 128GB - 5.5 Inch IOS 9.0 - Apple Smartphone - Silver,"₦ 123,000 "
Apple ,"Apple IPhone 7 2GB + 32GB 4.7"" Finger Sensor 4G Smartphone (Refurbishment)-Red","₦ 79,488 "
Apple ,IPhone 7-4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Matte Black,"₦ 92,500 "
Apple ,IPhone 6 4.7 Inch 1GB + 16 GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) - Grey,"₦ 41,620 "
Apple ,Iphone 7 Plus 32GB 5.5 Inch IOS Smartphone (Refurbished) - Red,"₦ 116,990 "
Apple ,IPhone 6 16GB 4.7 Inch IOS Smartphone (Refurbished) - Gold,"₦ 40,400 "
Apple ,IPhone 4s White 16gb Smart Phone  3.5-inch Screen (Gift：accessories) (Refurbiished),"₦ 13,170 "
Apple ,IPhone 8 Plus 64GB 5.5 Inch IOS Smartphone (Refurbished) - Gold,"₦ 153,500 "
Apple ,"IPhone 7 4.7 Inch 128GB ROM+2GB RAM (Refurbished,99%New) 12MP+7MP-Red","₦ 104,900 "
Apple ,IPhone 6S Refurbished Smartphone 128GB (Gift)-Gold,"₦ 65,455 "
Apple ,IPhone 6 32GB - Silver (refurbished) 4.7 Inch Screen,"₦ 100,407 "
Apple ,IPhone 7 Mobile Phone - 32GB - 3D Touch IPS Technology - 4.7 Inch IOS 10 - Black,"₦ 109,300 "
Apple ,Iphone 5 White 16gb Smart Phone Mobile Phone 4-inch Screen(Refurbished)(Gift：accessories),"₦ 20,400 "
Apple ,IPhone 6s 4.7'' (64GB+2GB) 12MP+5MP-With Fingerprint Sensor Smartphone(Refurbished)- Rose Gold,"₦ 68,090 "
Apple ,IPhone 6S 4.7 Inch 2GB + 16GB 12MP + 5MP 3D Touch 4G LTE Smartphone (Gift) – Rose Gold,"₦ 61,800 "
Apple ,"Apple IPhone 7 Plus 3GB + 32GB 5.5"" Finger Sensor 4G Smartphone (Refurbishment)-Red","₦ 125,820 "
